Timestamp,Do you visit the lecture regularly?,"In general, how do you like the lecture?",What is your opinion on the slide design?,What could we improve on the slides?,What are your thoughts on the content density of the lectures?,The difficulty of the homework is ...,The homework is understandable and I know what to do.,The bonus tasks are a fun challenge and I enjoy tackling them,Are you using the offered walk in sessions?,Do you look at the provided solutions once they are uploaded?,What further help would you need to succesfully complete the course?,I feel like the course structure is clear and makes sense.,The topics covered in the lecture felt relevant to me.,"I would like to have a project that spans several weeks at the end of the course, instead of single homeworks.",Topics I would like to get a lookout on in the last sessions,Anything else you would like to tell us?
10/05/2018 17:17:04,Yes,It's very helpful and well structured. ,5,"When you introduce a new function, maybe it would be helpful to put the general pattern/template (or however you call it) on the slides. 
E.g. if you were to introduce ""re.sub"", put ""re.sub(pattern, repl, string, count=0, flags=0)"" in a coloured box. Like you did for ""sorted"" in the last lecture (slide 23). That makes understanding the code examples a lot easier.  ",4,3,3,3,Yes,Yes,,4,5,1,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Plotting & Graphing, Data Analysis","I really enjoy taking your class and think you're doing a great job! I especially appreciate the walk-in sessions and that you're so approachable and friendly and always ready to answer questions. :) Also, it's great how you're trying to accommodate our different levels of programming experience, e.g. with the in-depth explanations at the end of the lecture. 

During the lecture, when you explain how a piece of code works (e.g. the different sorting algorithms), maybe you could do it a little slower or twice sometimes. Not because you don't explain it well enough the first time, but just because it gives us more time to understand and wrap our heads around the logic behind it.
What's very helpful is when you use the blackboard to give concrete examples (e.g. for the sorting algorithms when you went through different lists of numbers step by step) - so keep that up please. :)

And finally, it would be interesting to see some examples of how the commands we learn are used in actual ""real life"" programming (e.g. how you would use them when designing an experiment with PsychoPy or something like that). I don't know if that's feasible at all, but it would be interesting for those of us who don't have any programming experience and don't really have an idea how actual code works/looks like in practice. We wouldn't need to understand exactly how the code works in these examples - just so we get an idea of how it can be used. 

So, keep up the good work! :)"
10/05/2018 23:59:37,Yes,I like that the lectures have shortened somewhat and that example coding is being done in the classroom.,3,"Almost all of the information comes from very specific examples that are hard to translate into things like the homework. It would have been nice to learn the most used vocabulary of Python and exactly what that word does, then learn the grammar structure of Python to know exactly where the words fit (especially in what order). Naming the types of variables and laying out a language structure (zb. SubjectNoun_Verb_Adjective_ObjectNoun) would make it easier to apply the examples/explanations to multiple situations.",3,5,2,2,Yes,Yes,"I would actually prefer the homework to be many simple repetitive tasks to actually build a solid foundation in the basics instead of a giant problem that blends everything. It's hard to understand how all the pieces fit together in a large homework problem when I haven't had practice forming the individual elements in their different forms. So then after hours of trying things and failing, I just end up Googling everything and adding those pieces into the homework problem without understanding or caring what is happening.",4,4,1,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Computervision, GUI (graphical user interface) applications","Just remember that coding isn't ""common sense"" and that it is a language. Someone who has been using Python for years and is very proficient at using it can easily overlook and underestimate the very simple pieces that are necessary for those who have never coded before."
11/05/2018 08:06:52,No,,5,,4,3,4,3,No,No,,3,4,1,Neural Networks & Deep Learning,
11/05/2018 13:01:46,Yes,"It is ok, but it would be nice if we would do more simple tasks in the lecture so that we have the chance to understand how the new functions etc. work before we are required to implement them in the homeworks. ",4,,4,4,3,2,No,Yes,Some little tasks which help me to understand how someting works. Homework often requires to implement all new aquired knowledge of a lecture in one step. ,4,4,1,GUI (graphical user interface) applications,
11/05/2018 15:35:43,Yes,"I like it lots, it is among my favorite lectures. ",5,,4,3,4,3,Yes,No,,4,5,4,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Python and Web Development, Data Analysis",
11/05/2018 22:04:51,Yes,"very much, you're both doing a great job
I really like it how smart and thus likeable you are",4,,3,2,5,5,Yes,If I am not satisfied with my own solution,"I guess you should remind the beginners to use the walkin session and to do not hard-code everything, to use comments and explain how to create comments ( maybe with some examples; first at the beginning, and then in the mid, thus they can really understand the system behind comments)",5,5,4,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Python and Web Development, GUI (graphical user interface) applications","Thank you for creating this lovely course and helping us to understand this language.
Please stay awesome and never lose the fun with programming! <3"
12/05/2018 11:14:20,Yes,It is quite good!,4,,3,4,3,2,Yes,Yes,,4,4,1,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Plotting & Graphing, Data Analysis",
12/05/2018 16:20:57,No,Sometimes too dry (but thats not your fault really),3,Add more explanations on the slides with blocks of code on them. Sometimes these are hard to grasp when you've not been in the lecture,4,5,2,1,Yes,Yes,,4,4,1,PsychoPy (Experiment design in Python),
14/05/2018 08:55:33,Yes,"In general a lot. Could be a bit more slowly sometimes, especially when there is a lot of code. At least for me it takes some time to understand what acutally is going on.",4,,4,4,4,3,No,Yes,"I would really like to join the walk in sessions but unfortunately I have other classes at that time.
Do you have any recommendation where I could continue practicing? I think learning by doing is the most efficient method and there is a lot of content to practice. 
There is not enough time during the semester but maybe in the semester break to do some kind of online class.",5,4,2,"PsychoPy (Experiment design in Python), Plotting & Graphing, Python and Web Development, GUI (graphical user interface) applications",
14/05/2018 09:53:27,Yes,"I think they are very informative, they are good",5,,3,3,4,3,Yes,No,,2,4,1,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python), Computervision",
14/05/2018 14:24:01,Yes,,5,,3,2,4,3,Yes,Yes,,3,3,3,"Neural Networks & Deep Learning, Plotting & Graphing, Data Analysis",
14/05/2018 16:37:06,Yes,,4,,3,5,3,3,Yes,No,,5,4,2,"Neural Networks & Deep Learning, PsychoPy (Experiment design in Python)",
15/05/2018 08:52:27,Yes,nice but a little fast,5,,4,3,3,4,No,Yes,,4,4,1,GUI (graphical user interface) applications,
